P,I,D,CTE,Total Error,Speed,Steer Value,Steering Angle
0.5839,135.635,0,0.5839,1.62216,15.2474,-0.05839,-0.3619
0.5811,136.217,-0.0028,0.5811,1.62302,15.3486,-0.03011,-0.3484
0.5782,136.795,-0.0029,0.5782,1.62387,15.4039,-0.02882,-1.0234
0.5751,137.37,-0.0031,0.5751,1.6247,15.5653,-0.02651,-0.3164
0.5721,137.942,-0.003,0.5721,1.62551,15.5092,-0.02721,-0.2842
0.5691,138.511,-0.003,0.5691,1.62632,15.7204,-0.02691,-0.2264
0.5691,139.08,0,0.5691,1.62712,15.7204,-0.05691,-0.2264
0.5661,139.646,-0.003,0.5661,1.62791,15.7625,-0.02661,-0.2364
0.5628,140.209,-0.0033,0.5628,1.62869,15.9416,-0.02328,-0.9864
0.5595,140.769,-0.0033,0.5595,1.62945,15.8489,-0.02295,-0.2289
0.5562,141.325,-0.0033,0.5562,1.6302,16.0789,-0.02262,-0.1457
0.5529,141.878,-0.0033,0.5529,1.63094,16.1345,-0.02229,-0.1374
0.5495,142.427,-0.0034,0.5495,1.63167,16.3083,-0.02095,-0.1292
0.5462,142.973,-0.0033,0.5462,1.63238,16.1985,-0.02162,-0.1209
0.5429,143.516,-0.0033,0.5429,1.63308,16.4514,-0.02129,-0.0874
0.5396,144.056,-0.0033,0.5396,1.63377,16.4637,-0.02096,-0.1042
0.5362,144.592,-0.0034,0.5362,1.63445,16.6774,-0.01962,-0.0959
0.5362,145.128,0,0.5362,1.63512,16.6774,-0.05362,-0.0959
0.5328,145.661,-0.0034,0.5328,1.63579,16.5378,-0.01928,-0.0542
0.5292,146.19,-0.0036,0.5292,1.63644,16.8207,-0.01692,-0.9042
0.5255,146.716,-0.0037,0.5255,1.63708,16.7926,-0.01555,-0.0457
0.5219,147.238,-0.0036,0.5219,1.63771,17.0416,-0.01619,0.0133
0.5183,147.756,-0.0036,0.5183,1.63832,16.8742,-0.01583,0.0476
0.5183,148.274,0,0.5183,1.63894,16.8742,-0.05183,0.0476
0.5147,148.789,-0.0036,0.5147,1.63954,17.1904,-0.01547,0.0406
0.5109,149.3,-0.0038,0.5109,1.64013,17.1096,-0.01309,-0.8594
0.5071,149.807,-0.0038,0.5071,1.64071,17.4044,-0.01271,0.0496
0.5034,150.31,-0.0037,0.5034,1.64128,17.2047,-0.01334,0.1091
0.4997,150.81,-0.0037,0.4997,1.64183,17.5587,-0.01297,0.1186
0.4997,151.31,0,0.4997,1.64239,17.5587,-0.04997,0.1186
0.496,151.806,-0.0037,0.496,1.64293,17.4241,-0.0126,0.1121
0.492,152.298,-0.004,0.492,1.64346,17.7652,-0.0092,-0.8129
0.4881,152.786,-0.0039,0.4881,1.64399,17.5325,-0.00981,0.1213
0.4842,153.27,-0.0039,0.4842,1.6445,17.9222,-0.00942,0.2063
0.4804,153.75,-0.0038,0.4804,1.645,17.7401,-0.01004,0.1911
0.4804,154.231,0,0.4804,1.6455,17.7401,-0.04804,0.1911
0.4765,154.707,-0.0039,0.4765,1.64599,18.1151,-0.00865,0.1853
0.4726,155.18,-0.0039,0.4726,1.64647,17.8688,-0.00826,-0.7647
0.4686,155.649,-0.004,0.4686,1.64694,18.2715,-0.00686,0.2201
0.4647,156.113,-0.0039,0.4647,1.6474,18.0656,-0.00747,0.2298
0.4608,156.574,-0.0039,0.4608,1.64785,18.4512,-0.00708,0.2648
0.4608,157.035,0,0.4608,1.6483,18.4512,-0.04608,0.2648
0.457,157.492,-0.0038,0.457,1.64873,18.2126,-0.0077,0.2593
0.4529,157.945,-0.0041,0.4529,1.64916,18.6097,-0.00429,-0.7157
0.4489,158.394,-0.004,0.4489,1.64958,18.3973,-0.00489,0.2438
0.445,158.839,-0.0039,0.445,1.64999,18.7799,-0.0055,0.3291
0.4411,159.28,-0.0039,0.4411,1.6504,18.5569,-0.00511,0.3141
0.4411,159.721,0,0.4411,1.6508,18.5569,-0.04411,0.3141
0.4372,160.158,-0.0039,0.4372,1.65119,18.9408,-0.00472,0.3086
0.4332,160.591,-0.004,0.4332,1.65157,18.7321,-0.00332,-0.6664
0.4293,161.021,-0.0039,0.4293,1.65195,19.1053,-0.00393,0.3183
0.4254,161.446,-0.0039,0.4254,1.65231,18.8975,-0.00354,0.3533
0.4215,161.867,-0.0039,0.4215,1.65267,19.2669,-0.00315,0.3381
0.4215,162.289,0,0.4215,1.65303,19.2669,-0.04215,0.3381
0.4178,162.707,-0.0037,0.4178,1.65338,19.0672,-0.00478,0.3576
